session	commit	tokens_per_sec	bpb	status	description
mar29	ebfd77b	42.4	1.0058	keep	baseline greedy decode batch_size=1
mar29	3b72d43	0.0	inf	crash	torch.compile reduce-overhead on model.forward (CUDA graph conflict)
mar29	ddbc934	96.3	1.0059	keep	manual greedy loop + torch.compile default mode
mar29	ca2663a	0.0	inf	crash	static KV cache + reduce-overhead (mutated inputs)
mar29	8f9beb5	0.0	inf	crash	model.generate static cache + reduce-overhead (mutated inputs)
mar29	db2f040	0.0	inf	crash	torch.compile max-autotune (CUDA graph conflict)
mar29	95ad4f2	0.0	inf	crash	reduce-overhead + cudagraph_mark_step_begin (still fails)
mar29	5b0b501	90.7	1.0061	discard	model.generate + torch.compile default (slower than manual loop)
mar29	bb5c8f3	96.7	1.0059	discard	no-fullgraph + TF32 (marginal improvement)
mar29	c75b100	0.0	inf	crash	rotary patch + reduce-overhead (k tensor overwritten by cudagraph)
mar29	3ee40e3	0.0	inf	crash	INT8 dynamic quant (CPU only, not CUDA)
mar29	fc38999	79.9	1.0046	discard	manual INT8 weight-only quant (dequant overhead too high)
mar29	dc42360	98.9	1.0059	keep	return_dict=False reduces output object overhead
mar29	ee03e47	96.4	1.0055	discard	fp16 conversion (slightly slower)
mar29	7ad6068	100.2	1.0058	keep	compiled prefill+decode step functions with fused argmax
mar29	b81b472	0.0	inf	crash	max-autotune + cudagraphs=False config (still used cudagraphs)
mar29	38c147d	0.0	inf	crash	max-autotune no cudagraphs (recompile_limit hit)
mar29	9c6a894	92.1	1.0058	discard	dynamic=True + no fullgraph (graph breaks slow it down)
mar29	5a856dc	181.4	1.0058	keep	static cache + uncompiled prefill + compiled decode reduce-overhead + clone outputs
mar29	ebe66ef	101.0	1.0058	discard	reusable cache with early_init (CUDA graphs not replaying)
mar29	43b2fa1	101.0	1.0058	discard	pre-allocated buffers (breaks CUDA graph replay)
mar29	ae9cf34	100.8	1.0058	discard	compiled prefill breaks mark_static_address
mar29	616667b	167.8	1.0058	discard	inline cache_pos creation (overhead)
mar29	a2dc142	181.2	1.0054	discard	fp16 + matmul precision (no improvement)
mar29	433a4e9	193.6	1.0058	keep	max-autotune for decode (autotuned kernels + CUDA graphs)
mar29	4b39231	189.9	1.0058	discard	efficient prefill (slightly slower, may break cache flow)
mar29	d83f6c4	187.8	1.0058	discard	logits_to_keep=1 (slightly slower)
mar29	606ed37	202.7	1.0062	keep	eager attention implementation (faster for batch=1)
mar29	1f3731b	203.9	1.0062	keep	code cleanup: cached device, cleaner setup
